"Figure 2: Annual rental price inflation was higher in Wales than in England and Scotland",""
"Private rental price percentage change over 12 months for countries of the UK, January 2012 to January 2024",""
"",""
"Notes","1.  Data presented are classified as [official statistics in development](https://www.ons.gov.uk/methodology/methodologytopicsandstatisticalconcepts/guidetoofficialstatisticsindevelopment). Estimates are not seasonally adjusted. More information is available in [Section 8: Strengths and Limitations](https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/indexofprivatehousingrentalprices/january2024#strengths-and-limitations). 

2.  Northern Ireland data are currently available up to November 2023. Updated data will be used to revise UK estimates when available.  

3.  The [Cost of Living (Tenant Protection) Scotland Act](https://www.parliament.scot/bills-and-laws/bills/cost-of-living-tenant-protection-scotland-bill) passed on 6 October 2022, introducing a temporary rent cap in the private rented sector in Scotland. This cap, which applies to in-tenancy rent increases, was initially set at 0% for rent-increase notices served from 6 September 2022 until 31 March 2023. Private landlords could alternatively apply for a rent increase of up to 3% to help cover certain increases in costs in defined and limited circumstances. The Act has since been extended to 31 March 2024, with a mid-tenancy rent-increase cap of 3% from 1 April 2023. Private landlords are able to apply for a rent increase of up to 6% to help cover certain increases in costs in defined and limited circumstances. 
"
"Unit","Percentage"
"",""
"","England","Wales","Scotland","Northern Ireland"
"Jan 2012","2.8","1.3","1.4",""
"Feb 2012","2.9","1.3","1.5",""
"Mar 2012","2.8","1.0","1.5",""
"Apr 2012","2.9","0.7","1.3",""
"May 2012","3.0","0.7","1.2",""
"Jun 2012","3.0","0.6","1.2",""
"Jul 2012","3.0","0.6","1.2",""
"Aug 2012","2.9","0.6","1.0",""
"Sep 2012","2.9","0.8","0.9",""
"Oct 2012","2.9","0.6","0.8",""
"Nov 2012","2.8","0.5","0.9",""
"Dec 2012","2.7","0.5","1.2",""
"Jan 2013","2.6","0.6","1.1",""
"Feb 2013","2.5","0.4","1.2",""
"Mar 2013","2.5","0.4","1.2",""
"Apr 2013","2.3","0.9","1.3",""
"May 2013","2.3","0.9","1.5",""
"Jun 2013","2.2","0.9","1.4",""
"Jul 2013","2.2","0.9","1.5",""
"Aug 2013","2.2","0.7","1.8",""
"Sep 2013","2.0","0.4","1.8",""
"Oct 2013","1.8","0.4","1.8",""
"Nov 2013","1.9","0.6","1.8",""
"Dec 2013","1.7","0.5","1.8",""
"Jan 2014","1.7","0.5","1.7",""
