"Figure 2: The average UK house price was £288,000 in June 2023 (provisional estimate) ",
"Average house price, UK, January 2005 to June 2023  ",
,
Notes,"1. Not seasonally adjusted.
2. [HMLR's UK House Price Index (HPI) release on GOV.UK](https://www.gov.uk/government/collections/uk-house-price-index-reports) is available to download."
Unit,£
,
,UK average house price
2005 Jan,150633
2005 Feb,150488
2005 Mar,151723
2005 Apr,153880
2005 May,155533
2005 Jun,156767
2005 Jul,158786
2005 Aug,159431
2005 Sep,159183
2005 Oct,158865
2005 Nov,159337
2005 Dec,160209
2006 Jan,159970
2006 Feb,160231
2006 Mar,161531
2006 Apr,165042
2006 May,166606
2006 Jun,168184
2006 Jul,170604
2006 Aug,172037
2006 Sep,172738
2006 Oct,173750
2006 Nov,174644
2006 Dec,176819
2007 Jan,176758
2007 Feb,177261
2007 Mar,178636
2007 Apr,182243
2007 May,184330
2007 Jun,186348
2007 Jul,188691
2007 Aug,189786
2007 Sep,190032
2007 Oct,189589
2007 Nov,189489
2007 Dec,189193
2008 Jan,185782
2008 Feb,184185
2008 Mar,182845
2008 Apr,183148
2008 May,184267
2008 Jun,181831
2008 Jul,179845
2008 Aug,176092
2008 Sep,171660
2008 Oct,168177
2008 Nov,163447
2008 Dec,160954
2009 Jan,157234
2009 Feb,155417
2009 Mar,154452
2009 Apr,155852
2009 May,158004
2009 Jun,159561
2009 Jul,162423
2009 Aug,164025
2009 Sep,165314
2009 Oct,166425
2009 Nov,166986
2009 Dec,168082
2010 Jan,167469
2010 Feb,167888
2010 Mar,167878
2010 Apr,170028
2010 May,170846
2010 Jun,171689
2010 Jul,173427
2010 Aug,173417
2010 Sep,172972
2010 Oct,171045
2010 Nov,169013
2010 Dec,168703
2011 Jan,167300
2011 Feb,166415
2011 Mar,165649
2011 Apr,168218
2011 May,167470
2011 Jun,167753
2011 Jul,169866
2011 Aug,169968
2011 Sep,169544
2011 Oct,167673
2011 Nov,167757
2011 Dec,167048
2012 Jan,165908
2012 Feb,165457
2012 Mar,165947
2012 Apr,167854
2012 May,168395
2012 Jun,170049
2012 Jul,170701
2012 Aug,170902
2012 Sep,170295
2012 Oct,169090
2012 Nov,169227
2012 Dec,168843
2013 Jan,167716
2013 Feb,167682
2013 Mar,168681
2013 Apr,170335
2013 May,171234
2013 Jun,172655
2013 Jul,174592
2013 Aug,175982
2013 Sep,176098
2013 Oct,175378
2013 Nov,176352
2013 Dec,177971
2014 Jan,178182
2014 Feb,178921
2014 Mar,179537
2014 Apr,183532
2014 May,185476
2014 Jun,187077
2014 Jul,189709
2014 Aug,191932
2014 Sep,192138
2014 Oct,191855
2014 Nov,191209
2014 Dec,191669
2015 Jan,190665
2015 Feb,190827
2015 Mar,191537
2015 Apr,193225
2015 May,195313
2015 Jun,196802
2015 Jul,200142
2015 Aug,201973
2015 Sep,202389
2015 Oct,202664
2015 Nov,204223
2015 Dec,204920
2016 Jan,205464
2016 Feb,205555
2016 Mar,207667
2016 Apr,208443
2016 May,210872
2016 Jun,212887
2016 Jul,215127
2016 Aug,215145
2016 Sep,214816
2016 Oct,214107
2016 Nov,215113
2016 Dec,215500
2017 Jan,215243
2017 Feb,215697
2017 Mar,215236
2017 Apr,218642
2017 May,219954
2017 Jun,221833
2017 Jul,224719
2017 Aug,225738
2017 Sep,224895
2017 Oct,225092
2017 Nov,224453
2017 Dec,225330
2018 Jan,224544
2018 Feb,225131
2018 Mar,223772
2018 Apr,225910
2018 May,226834
2018 Jun,228355
2018 Jul,231187
2018 Aug,231898
2018 Sep,231454
2018 Oct,231211
2018 Nov,230224
2018 Dec,229729
2019 Jan,228314
2019 Feb,227738
2019 Mar,227104
2019 Apr,228749
2019 May,229061
2019 Jun,230049
2019 Jul,232618
2019 Aug,233366
2019 Sep,233536
2019 Oct,232919
2019 Nov,232096
2019 Dec,231792
2020 Jan,231940
2020 Feb,230609
2020 Mar,232684
2020 Apr,230318
2020 May,231508
2020 Jun,234703
2020 Jul,236687
2020 Aug,238998
2020 Sep,241541
2020 Oct,243575
2020 Nov,246065
2020 Dec,247983
2021 Jan,249690
2021 Feb,249586
2021 Mar,253506
2021 Apr,250210
2021 May,251285
2021 Jun,265676
2021 Jul,252960
2021 Aug,260429
2021 Sep,269003
2021 Oct,263333
2021 Nov,267370
2021 Dec,268115
2022 Jan,272738
2022 Feb,272454
2022 Mar,273787
2022 Apr,276917
2022 May,280433
2022 Jun,282777
2022 Jul,288331
2022 Aug,290609
2022 Sep,292273
2022 Oct,291819
2022 Nov,292674
2022 Dec,289844
2023 Jan,287274
2023 Feb,285648
2023 Mar,283635
2023 Apr,285010
2023 May,285546
2023 Jun,287546
